Id,Calories,date,month,year,time,TotalIntensity,AverageIntensity,StepTotal
1503960366,81,12,4,2016,00:00:00,20,0.333333,373
1503960366,61,12,4,2016,01:00:00,8,0.133333,160
1503960366,59,12,4,2016,02:00:00,7,0.116667,151
1503960366,47,12,4,2016,03:00:00,0,0.0,0
1503960366,48,12,4,2016,04:00:00,0,0.0,0
1503960366,48,12,4,2016,05:00:00,0,0.0,0
1503960366,48,12,4,2016,06:00:00,0,0.0,0
1503960366,47,12,4,2016,07:00:00,0,0.0,0
1503960366,68,12,4,2016,08:00:00,13,0.216667,250
1503960366,141,12,4,2016,09:00:00,30,0.5,1864
1503960366,99,12,4,2016,10:00:00,29,0.483333,676
1503960366,76,12,4,2016,11:00:00,12,0.2,360
1503960366,73,12,4,2016,12:00:00,11,0.183333,253
1503960366,66,12,4,2016,13:00:00,6,0.1,221
1503960366,110,12,4,2016,14:00:00,36,0.6,1166
1503960366,151,12,4,2016,15:00:00,58,0.966667,2063
1503960366,76,12,4,2016,16:00:00,13,0.216667,344
1503960366,83,12,4,2016,17:00:00,16,0.266667,489
1503960366,124,12,4,2016,18:00:00,29,0.483333,1386
1503960366,104,12,4,2016,19:00:00,39,0.65,558
1503960366,132,12,4,2016,20:00:00,41,0.683333,1733
1503960366,100,12,4,2016,21:00:00,31,0.516667,684
1503960366,65,12,4,2016,22:00:00,9,0.15,89
1503960366,81,12,4,2016,23:00:00,21,0.35,338
1503960366,69,13,4,2016,00:00:00,14,0.233333,144
1503960366,48,13,4,2016,01:00:00,0,0.0,0
1503960366,47,13,4,2016,02:00:00,0,0.0,0
1503960366,53,13,4,2016,03:00:00,4,0.066667,36
1503960366,47,13,4,2016,04:00:00,0,0.0,0
1503960366,47,13,4,2016,05:00:00,0,0.0,0
1503960366,48,13,4,2016,06:00:00,0,0.0,0
1503960366,59,13,4,2016,07:00:00,8,0.133333,126
1503960366,69,13,4,2016,08:00:00,12,0.2,275
1503960366,136,13,4,2016,09:00:00,27,0.45,1679
1503960366,77,13,4,2016,10:00:00,15,0.25,295
1503960366,84,13,4,2016,11:00:00,16,0.266667,524
1503960366,82,13,4,2016,12:00:00,15,0.25,486
1503960366,72,13,4,2016,13:00:00,10,0.166667,302
1503960366,128,13,4,2016,14:00:00,46,0.766667,1577
1503960366,79,13,4,2016,15:00:00,13,0.216667,493
1503960366,71,13,4,2016,16:00:00,10,0.166667,299
